species,plant_date,plant_type,dbh,plot_size
Ulmus parvifolia :: Chinese Elm,2013-12-14 00:00:00.000000 UTC,Tree,3,5x5
Ginkgo biloba :: Maidenhair Tree,2000-05-01 00:00:00.000000 UTC,Tree,3,2X2
Ginkgo biloba :: Maidenhair Tree,2000-05-01 00:00:00.000000 UTC,Tree,3,2X2
Ginkgo biloba :: Maidenhair Tree,1995-10-26 00:00:00.000000 UTC,Tree,3,2X3
Ginkgo biloba :: Maidenhair Tree,1995-12-07 00:00:00.000000 UTC,Tree,3,2X3
Ginkgo biloba :: Maidenhair Tree,2014-03-07 00:00:00.000000 UTC,Tree,3,2X3
Ginkgo biloba :: Maidenhair Tree,2005-02-10 00:00:00.000000 UTC,Tree,3,2X3
Ginkgo biloba :: Maidenhair Tree,2014-03-07 00:00:00.000000 UTC,Tree,3,2X3
Ginkgo biloba :: Maidenhair Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Ginkgo biloba :: Maidenhair Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Ginkgo biloba :: Maidenhair Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Ginkgo biloba :: Maidenhair Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Ginkgo biloba :: Maidenhair Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Ginkgo biloba :: Maidenhair Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Ginkgo biloba :: Maidenhair Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Ginkgo biloba :: Maidenhair Tree,1995-10-26 00:00:00.000000 UTC,Tree,3,3X4
Ginkgo biloba :: Maidenhair Tree,2016-03-10 14:10:00.000000 UTC,Tree,3,5x3
Acer buergeranum :: Trident Maple,2008-04-22 00:00:00.000000 UTC,Tree,3,3X5
Acer x freemanii :: Freeman Maple,2008-04-28 00:00:00.000000 UTC,Tree,3,2x3
Ficus retusa nitida :: Banyan Fig,1995-01-07 00:00:00.000000 UTC,Tree,3,2x3
Pyrus kawakamii :: Evergreen Pear,2008-02-21 00:00:00.000000 UTC,Tree,3,2X2
